Experiment,Class,Index,Top1,Entropy,SSIM
E3_Strong,6,3,0.9857344627380371,0.08915585279464722,0.00016678877027948333
E3_Strong,6,4,0.9915915727615356,0.06474285572767258,0.00020794580891110066
E3_Strong,6,5,0.9869482517242432,0.08229202777147293,0.00011360944715488962
E3_Strong,6,6,0.9892249703407288,0.07050015032291412,0.0011033150841884033
E3_Strong,6,7,0.9875356554985046,0.07997673749923706,0.00022905343841317095
E3_Strong,6,8,0.9878377914428711,0.07778854668140411,0.0006888699851058785
E3_Strong,6,9,0.9871805310249329,0.08200967311859131,0.00018103902608328467
E3_Strong,7,0,0.9939867258071899,0.04907655715942383,0.0013419228474435465
E3_Strong,7,1,0.993865430355072,0.049966078251600266,0.001273085151412548
E3_Strong,7,2,0.9939143061637878,0.04934954643249512,0.0007816492368419858
E3_Strong,7,3,0.9925363063812256,0.058233924210071564,0.0010649115379261116
E3_Strong,7,4,0.9923147559165955,0.059962332248687744,0.00040378146933485633
E3_Strong,7,5,0.9919117093086243,0.06296586245298386,0.00035189364080241464
E3_Strong,7,6,0.994105339050293,0.04798778146505356,0.0017398423342773327
E3_Strong,7,7,0.9928067922592163,0.05663575977087021,0.001020676443125685
E3_Strong,7,8,0.9919493198394775,0.06260289996862411,0.0007514403704109167
E3_Strong,7,9,0.9927162528038025,0.057841043919324875,0.00034197728938713885
E3_Strong,8,0,0.9999618530273438,0.0005088122561573982,0.0003585453336395291
E3_Strong,8,1,0.9999474287033081,0.000682902755215764,0.00035933567561330186
E3_Strong,8,2,0.9999537467956543,0.0006083109183236957,0.0004334698378367971
E3_Strong,8,3,0.9999475479125977,0.0006823276053182781,0.0004303520503158362
E3_Strong,8,4,0.9999548196792603,0.0005953769432380795,0.0005311486663291466
E3_Strong,8,5,0.999961256980896,0.0005151628865860403,0.00035354719166432857
E3_Strong,8,6,0.9999505281448364,0.0006474695401266217,0.0005627442798966002
E3_Strong,8,7,0.9999613761901855,0.0005128411576151848,0.0005058578632268424
E3_Strong,8,8,0.9999611377716064,0.0005171361844986677,0.0005229522031554515
E3_Strong,8,9,0.9999552965164185,0.0005892908666282892,0.00034015488057971083
E3_Strong,9,0,0.9956334233283997,0.03612041100859642,1.597408920109174e-05
E3_Strong,9,1,0.9959186911582947,0.034198444336652756,1.4677929942622579e-05
E3_Strong,9,2,0.996164083480835,0.0322348028421402,1.4141705391902486e-05
E3_Strong,9,3,0.9957334399223328,0.03576567769050598,1.2625411404431452e-05
E3_Strong,9,4,0.99639892578125,0.030583832412958145,1.4740273783434171e-05
E3_Strong,9,5,0.9961652755737305,0.03243511915206909,1.541277529852304e-05
E3_Strong,9,6,0.9964339733123779,0.030117671936750412,1.4452986076231197e-05
E3_Strong,9,7,0.9951189756393433,0.03994777798652649,1.414163223160373e-05
E3_Strong,9,8,0.9957734942436218,0.03535420075058937,2.566020969120736e-05
E3_Strong,9,9,0.9950182437896729,0.041047606617212296,7.828943369039441e-05
E4_Extreme,0,0,0.994240403175354,0.04688642919063568,2.020506911909883e-05
E4_Extreme,0,1,0.9944888353347778,0.04502922296524048,1.15018898478704e-05
E4_Extreme,0,2,0.9947891235351562,0.04289978742599487,2.0026525464894173e-05
E4_Extreme,0,3,0.9944729208946228,0.04514003545045853,1.6227077996653643e-05
E4_Extreme,0,4,0.9939418435096741,0.04901491850614548,2.1896338889163874e-05
E4_Extreme,0,5,0.9944058656692505,0.04559766501188278,1.616788961717413e-05
E4_Extreme,0,6,0.9950674772262573,0.04091797024011612,1.2339802261072872e-05
E4_Extreme,0,7,0.9944679737091064,0.04507216066122055,1.7615055108116627e-05
E4_Extreme,0,8,0.9948722720146179,0.04233647882938385,1.1399138695050027e-05
E4_Extreme,0,9,0.9943159222602844,0.04642545059323311,1.3612957189229934e-05
E4_Extreme,1,0,0.9982428550720215,0.016630049794912338,0.008605602758445291
E4_Extreme,1,1,0.9978356957435608,0.019990181550383568,0.006270697748283235
E4_Extreme,1,2,0.9982885718345642,0.01622048392891884,0.007401993717991922
E4_Extreme,1,3,0.998525083065033,0.014210821129381657,0.012292413652038862
